"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.100.1","192.168.100.80","DNS","170","Standard query response 0xff2d A www.google.com A 142.250.4.103 A 142.250.4.105 A 142.250.4.99 A 142.250.4.106 A 142.250.4.147 A 142.250.4.104"
"2","0.001811","192.168.100.80","142.250.4.103","QUIC","1292","Initial, DCID=e4ab514015524431, PKN: 1, PADDING, CRYPTO, PADDING, PING, PING, PING"
"3","0.002290","192.168.100.80","142.250.4.103","QUIC","120","0-RTT, DCID=e4ab514015524431"
"4","0.002670","192.168.100.80","142.250.4.103","QUIC","1292","Initial, DCID=a7358105b0e2b18b, PKN: 1, CRYPTO, CRYPTO, CRYPTO"
"5","0.002796","192.168.100.80","142.250.4.103","QUIC","121","0-RTT, DCID=a7358105b0e2b18b"
"6","0.037670","142.250.4.103","192.168.100.80","QUIC","1292","Protected Payload (KP0)"
"7","0.037885","142.250.4.103","192.168.100.80","QUIC","664","Protected Payload (KP0)"
"8","0.037885","142.250.4.103","192.168.100.80","QUIC","1292","Protected Payload (KP0)"
"9","0.037885","142.250.4.103","192.168.100.80","QUIC","664","Protected Payload (KP0)"
"10","0.038789","192.168.100.80","142.250.4.103","QUIC","121","Handshake, DCID=e4ab514015524431"
"11","0.039023","192.168.100.80","142.250.4.103","QUIC","75","Protected Payload (KP0), DCID=e4ab514015524431"
"12","0.039551","192.168.100.80","142.250.4.103","QUIC","120","Handshake, DCID=a7358105b0e2b18b"
"13","0.039680","192.168.100.80","142.250.4.103","QUIC","75","Protected Payload (KP0), DCID=a7358105b0e2b18b"
"14","0.061924","142.250.4.103","192.168.100.80","QUIC","68","Protected Payload (KP0)"
"15","0.062297","142.250.4.103","192.168.100.80","QUIC","68","Protected Payload (KP0)"
"16","0.071969","142.250.4.103","192.168.100.80","QUIC","134","Protected Payload (KP0)"
"17","0.072119","142.250.4.103","192.168.100.80","QUIC","134","Protected Payload (KP0)"
"18","0.098197","192.168.100.80","142.250.4.103","QUIC","75","Protected Payload (KP0), DCID=e4ab514015524431"
"19","0.098577","192.168.100.80","142.250.4.103","QUIC","75","Protected Payload (KP0), DCID=a7358105b0e2b18b"
"20","1.023550","192.168.100.80","142.251.10.190","UDP","671","58652  >  443 Len=629"
"21","1.057506","142.251.10.190","192.168.100.80","UDP","69","443  >  58652 Len=27"
"22","1.064493","142.251.10.190","192.168.100.80","UDP","110","443  >  58652 Len=68"
"23","1.064870","142.251.10.190","192.168.100.80","UDP","67","443  >  58652 Len=25"
"24","1.065016","192.168.100.80","142.251.10.190","UDP","78","58652  >  443 Len=36"
"25","1.091305","192.168.100.80","142.251.10.190","UDP","75","58652  >  443 Len=33"
"26","1.126288","142.251.10.190","192.168.100.80","UDP","67","443  >  58652 Len=25"
